Póstnúmer;Staður;Tegund;Svæði;Heimilisfang;Eldra póstnúmer
101;Reykjavík;Þéttbýli;Höfuðborgarsvæðið; ;
102;Reykjavík;Þéttbýli;Höfuðborgarsvæðið; ;101
103;Reykjavík;Þéttbýli;Höfuðborgarsvæðið; ;
104;Reykjavík;Þéttbýli;Höfuðborgarsvæðið; ;
105;Reykjavík;Þéttbýli;Höfuðborgarsvæðið; ;
107;Reykjavík;Þéttbýli;Höfuðborgarsvæðið; ;
108;Reykjavík;Þéttbýli;Höfuðborgarsvæðið; ;
109;Reykjavík;Þéttbýli;Höfuðborgarsvæðið; ;
110;Reykjavík;Þéttbýli;Höfuðborgarsvæðið; ;
111;Reykjavík;Þéttbýli;Höfuðborgarsvæðið; ;
112;Reykjavík;Þéttbýli;Höfuðborgarsvæðið; ;
113;Reykjavík;Þéttbýli;Höfuðborgarsvæðið; ;
116;Reykjavík;Þéttbýli;Höfuðborgarsvæðið; ;
121;Reykjavík;Pósthólf;Höfuðborgarsvæðið; ;
123;Reykjavík;Pósthólf;Höfuðborgarsvæðið; ;
124;Reykjavík;Pósthólf;Höfuðborgarsvæðið; ;
125;Reykjavík;Pósthólf;Höfuðborgarsvæðið; ;
127;Reykjavík;Pósthólf;Höfuðborgarsvæðið; ;
128;Reykjavík;Pósthólf;Höfuðborgarsvæðið; ;
129;Reykjavík;Pósthólf;Höfuðborgarsvæðið; ;
130;Reykjavík;Pósthólf;Höfuðborgarsvæðið; ;
132;Reykjavík;Pósthólf;Höfuðborgarsvæðið; ;
161;Reykjavík;Dreifbýli;Höfuðborgarsvæðið; ;110
162;Reykjavík - Dreifbýli;Dreifbýli;Höfuðborgarsvæðið; ;116
170;Seltjarnarnesi;Þéttbýli;Höfuðborgarsvæðið; ;
172;Seltjarnarnesi;Pósthólf;Höfuðborgarsvæðið; ;
190;Vogum;Þéttbýli;Suðurland og Reykjanes; ;
191;Vogum;Dreifbýli;Suðurland og Reykjanes; ;190
200;Kópavogi;Þéttbýli;Höfuðborgarsvæðið; ;
201;Kópavogi;Þéttbýli;Höfuðborgarsvæðið; ;
202;Kópavogi;Pósthólf;Höfuðborgarsvæðið; ;
203;Kópavogi;Þéttbýli;Höfuðborgarsvæðið; ;
206;Kópavogi;Dreifbýli;; ;
210;Garðabæ;Þéttbýli;Höfuðborgarsvæðið; ;
212;Garðabæ;Pósthólf;Höfuðborgarsvæðið; ;
220;Hafnarfirði;Þéttbýli;Höfuðborgarsvæðið; ;
221;Hafnarfirði;Þéttbýli;Höfuðborgarsvæðið; ;
222;Hafnarfirði;Pósthólf;Höfuðborgarsvæðið; ;
225;Garðabæ;Þéttbýli;Höfuðborgarsvæðið; ;
230;Reykjanesbæ;Þéttbýli;Suðurland og Reykjanes; ;
232;Reykjanesbæ;Pósthólf;Suðurland og Reykjanes; ;
233;Reykjanesbæ;Dreifbýli;Suðurland og Reykjanes; ;
235;Keflavíkurflugvelli;Þéttbýli;Suðurland og Reykjanes; ;
240;Grindavík;Þéttbýli;Suðurland og Reykjanes; ;
241;Grindavík;Dreifbýli;Suðurland og Reykjanes; ;240
245;Suðurnesjabæ;Þéttbýli;Suðurland og Reykjanes; ;
246;Suðurnesjabæ;Dreifbýli;Suðurland og Reykjanes; ;245
250;Suðurnesjabæ;Þéttbýli;Suðurland og Reykjanes; ;
251;Suðurnesjabæ;Dreifbýli;Suðurland og Reykjanes; ;250
260;Reykjanesbæ;Þéttbýli;Suðurland og Reykjanes; ;
262;Reykjanesbæ;Þéttbýli;Suðurland og Reykjanes; ;235
270;Mosfellsbæ;Þéttbýli;Höfuðborgarsvæðið; ;
271;Mosfellsbæ;Dreifbýli;Höfuðborgarsvæðið; ;
276;Mosfellsbæ;Dreifbýli;Höfuðborgarsvæðið; ;
300;Akranesi;Þéttbýli;Vesturland og Vestfirðir; ;
301;Akranesi;Dreifbýli;Vesturland og Vestfirðir; ;
302;Akranesi;Pósthólf;Vesturland og Vestfirðir; ;
310;Borgarnesi;Þéttbýli;Vesturland og Vestfirðir; ;
311;Borgarnesi;Dreifbýli;Vesturland og Vestfirðir; ;
320;Reykholti í Borgarfirði;Dreifbýli;Vesturland og Vestfirðir; ;
340;Stykkishólmi;Þéttbýli;Vesturland og Vestfirðir; ;
341;Stykkishólmi;Dreifbýli;Vesturland og Vestfirðir; ;340
342;Stykkishólmi;Dreifbýli;Vesturland og Vestfirðir; ;311
345;Flatey á Breiðafirði;Dreifbýli;Vesturland og Vestfirðir; ;
350;Grundarfirði;Þéttbýli;Vesturland og Vestfirðir; ;
351;Grundarfirði;Dreifbýli;Vesturland og Vestfirðir; ;350
355;Ólafsvík;Þéttbýli;Vesturland og Vestfirðir; ;
356;Snæfellsbæ;Dreifbýli;Vesturland og Vestfirðir; ;
360;Hellissandi;Þéttbýli;Vesturland og Vestfirðir; ;
370;Búðardal;Þéttbýli;Vesturland og Vestfirðir; ;
